object_name,n_papers_checked,n_name_hits,genuinely_discussed,reasoning
WISEA J112006.01-121045.1,0,0,False,No papers found in bibliography.
WISEA J221736.72+005008.6,0,0,False,No papers found in bibliography.
WISEA J122658.85+332720.5,0,0,False,No papers found in bibliography.
WISEA J095751.86+690247.9,0,0,False,No papers found in bibliography.
IRAS 07251-0248,0,0,False,No papers found in bibliography.
A851 EIG parent C3,0,0,False,No papers found in bibliography.
UGC 08335B / Arp 238 NED02,0,0,False,No papers found in bibliography.
SSTSL2 J204516.84-312117.8,0,0,False,No papers found in bibliography.
SDSS J150007.24+015310.7,0,0,False,No papers found in bibliography.
WISEA J170052.53+640946.3,0,0,False,No papers found in bibliography.
WISEA J174045.85+690547.8,0,0,False,No papers found in bibliography.
COSMOS2015 1043708,0,0,False,No papers found in bibliography.
WISEA J235147.36-261139.4,0,0,False,No papers found in bibliography.
SSTSL2 J173946.43+690214.6,0,0,False,No papers found in bibliography.
DEEP2 13043023,0,0,False,No papers found in bibliography.
WISEA J174011.87+690236.0,0,0,False,No papers found in bibliography.
WISEA J121416.01+330840.5,0,0,False,No papers found in bibliography.
WISEA J122808.25+123508.2,0,0,False,No papers found in bibliography.
WISEA J003851.16+422229.0,0,0,False,No papers found in bibliography.
WISEA J015254.33-135144.8,0,0,False,No papers found in bibliography.
SDSS J104629.17+114923.0,0,0,False,No papers found in bibliography.
WISEA J015231.63-135906.1,0,0,False,No papers found in bibliography.
SDSS J135216.44+020437.6,0,0,False,No papers found in bibliography.
WISEA J122331.69-123901.1,0,0,False,No papers found in bibliography.
SSTSL2 J071759.94+373756.4,0,0,False,No papers found in bibliography.
WISEA J091042.83+424857.3,0,0,False,No papers found in bibliography.
WISEA J220136.44-320250.9,0,0,False,No papers found in bibliography.
SDSS J141547.47+230259.0,0,0,False,No papers found in bibliography.
WISEA J120548.98+491158.2,0,0,False,No papers found in bibliography.
SSTSL2 J174016.00+685609.5,0,0,False,No papers found in bibliography.
SSTSL2 J124949.99-412257.9,0,0,False,No papers found in bibliography.
WISEA J090412.70-362701.5,0,0,False,No papers found in bibliography.
COSMOS J100129.26+025220.5,0,0,False,No papers found in bibliography.
COSMOS2015 1029453,0,0,False,No papers found in bibliography.
SDSS J173920.50+685942.0,0,0,False,No papers found in bibliography.
WISEA J031706.99-405914.6,0,0,False,No papers found in bibliography.
SSTSL2 J163550.40+661345.6,0,0,False,No papers found in bibliography.
WISEA J174125.62+685900.7,0,0,False,No papers found in bibliography.
WISEA J103046.27+471633.5,0,0,False,No papers found in bibliography.
SSTSL2 J122658.28+332548.5,0,0,False,No papers found in bibliography.
WISEA J230055.10+002332.5,0,0,False,No papers found in bibliography.
WISEA J164306.98+315609.6,0,0,False,No papers found in bibliography.
SSTSL2 J173919.73+690047.2,0,0,False,No papers found in bibliography.
GALEXMSC J121915.89+472750.3,0,0,False,No papers found in bibliography.
SDSS J112313.13+140857.5,0,0,False,No papers found in bibliography.
SSTSL2 J122714.21+332659.6,0,0,False,No papers found in bibliography.
SSTSL2 J071708.17+374602.4,0,0,False,No papers found in bibliography.
COSMOS2015 284039,0,0,False,No papers found in bibliography.
COSMOS2015 211879,0,0,False,No papers found in bibliography.
WISEA J164114.86+464332.8,0,0,False,No papers found in bibliography.
WISEA J121959.46+472025.4,0,0,False,No papers found in bibliography.
SSTSL2 J071741.73+374325.1,0,0,False,No papers found in bibliography.
SSTSL2 J071722.31+374606.4,0,0,False,No papers found in bibliography.
SSTSL2 J174123.82+690017.2,0,0,False,No papers found in bibliography.
WISEA J005642.37+655036.7,0,0,False,No papers found in bibliography.
WISEA J145907.86+102346.7,0,0,False,No papers found in bibliography.
SSTSL2 J114051.40-263017.3,0,0,False,No papers found in bibliography.
WISEA J022457.35-031714.9,0,0,False,No papers found in bibliography.
GALEXASC J124403.82-341126.9,0,0,False,No papers found in bibliography.
WISEA J121406.93+331044.3,0,0,False,No papers found in bibliography.
SSTSL2 J174041.48+690345.9,0,0,False,No papers found in bibliography.
WISEA J174054.05+690310.4,0,0,False,No papers found in bibliography.
WISEA J110809.93-043001.8,0,0,False,No papers found in bibliography.
GALEXMSC J205952.77-424645.7,0,0,False,No papers found in bibliography.
WISEA J143735.26-145957.7,0,0,False,No papers found in bibliography.
WISEA J132940.05+285452.0,0,0,False,No papers found in bibliography.
