object_name,bibcode,title,year,matched_alias,snippets
NAME Knot in M87 Jet,2008MNRAS.388L..49S,A two-zone synchrotron model for the knots in the M87 jet,2008,[SDL2016] Nova 19,"However, Chandra due to its better spatial resolution is able to resolve many fainter knots of the M87 jet which were observed only in radio and optical bands earlier. ... The radio-to-optical emission from the knots of the M87 jet is quite well accepted as synchrotron emission due to cooling of relativistic non-thermal electrons by the magnetic field therein ( ... this Letter we propose a two-zone model to explain the non-thermal emission from the knots of the M87 jet. We consider a situation where a power-law distribution of electrons is accelerated b ... However, Chandra due to its better spatial resolution is able to resolve many fainter knots of the M87 jet which were observed only in radio and optical bands earlier."
NAME Knot in M87 Jet,2007ApJ...668L..23L,A Modified Synchrotron Model for Knots in the M87 Jet,2007,[SDL2016] Nova 19,"The Chandra data confirm steep X‐ray spectra of the knots in the M87 jet () and are thus consistent with a synchrotron origin for the X‐ray jet emission ( M02 ; Wilson Yang 2002 ; PW05 ). ... In § 2 , we describe in detail our modified synchrotron model for knots in the M87 jet. In § 3 , we present and discuss the fitting results of this model to the wide‐band spectra of knots D, ... These best‐fit parameters for each knot are listed in Table 2 . The SEDs for the knots in the M87 jet and the best fits for our model are plotted in Figure 1 . ... Our model gives a satisfactory fit to the SEDs of knots in the M87 jet. Based on our analysis, knots D, E, F, A, B, and C1 are unlikely to be responsible for the TeV emission detected in M87."
NAME Knot in M87 Jet,1979ApL....20...15B,A Model for the Knots in the M87 Jet,1979,[SDL2016] Nova 19,
NAME Knot in M87 Jet,1979ApJ...233...44S,Some properties of the knots in the M87 jet.,1979,[SDL2016] Nova 19,"erties of optical appearance, spectral index, polarization, and variability mark the knots in the M87 jet as being phenomenologically most like the BL Lacertae class of objects. d) Discussion ... The results in the present paper indicate that the knots in the M87 jet are like a class of extragalactic objects, BL Lacertae objects, which undoubtedly have some ponderable mass."
NAME Knot in M87 Jet,1985MNRAS.216...79F,A theoretical model of the M 87 jet.,1985,[SDL2016] Nova 19,"This paper describes a theoretical model of the knots in the M87 jet based on the idea that it is a steady fluid jet propagating through a non-uniform atmosphere* We argue that knots D, E and"
NAME Knot in M87 Jet,2009AJ....137.3864M,Hubble Space Telescope Observations of an Extraordinary Flare in the M87 Jet,2009,[SDL2016] Nova 19,
NAME Knot in M87 Jet,1983ApJ...266...69S,Infrared observations of the jet in M 87.,1983,[SDL2016] Nova 19,"982 August 23 ABSTRACT Infrared observations, in J, H, and K, of the three brightest knots in the M87 jet show that the spectrum is well described by a power law from radio to optical frequen"
NAME Knot in M87 Jet,1985ApJ...288...32B,Diffusive shock acceleration and quasar photospheres,1985,[SDL2016] Nova 19,"This behavior is consistent with current observations of knot A in the M87 jet. Unresolved sources have power-law spectra of slope — 1 (lowfrequency, strong shock limit), with spectral steepe ... The most convincing candidate for emission behind a shock is knot A in the M87 jet. Radio data show a bright knot with a sharp edge and emission extending away from the central source (Birett"
NAME Knot in M87 Jet,1988MNRAS.230..497C,Jets with entrained clouds - II. The synchrotron spectrum and emission structure.,1988,[SDL2016] Nova 19,
NAME Knot in M87 Jet,1984ApJ...279..550K,Optical spectrophotometry of the M 87 jet and its environs.,1984,[SDL2016] Nova 19,1983 August 12; accepted 1983 October 6 ABSTRACT Spectrophotometry of the brightest knots in the M87 jet shows a gradual steepening of the spectral index from a = 0.66 in the IR to 0.92 over
2MASS J07371703+6535579,2025arXiv250608497N,Catalog of very-high-energy emitting active galactic nuclei at high Galactic latitudes,2025,EQ J073716.9+653557.6,"39 in the GeV band, but the VHE emission is clearly associated to 4FGL J0032.3-5539. 4FGL J0737+6535 is situated within the extent of the disk of NGC 2403 at 2.6 Mpc distance from the Milky W ... The source spectrum (Fig. 10) is not as hard as that of 4FGL J0032.3-5539 and 4FGL J0737+6535, but still its slope is harder than Γ = 2 which favors its detection at higher energies with IACT"
NGC  1806,2025A&A...694A.113P,Metal-THINGS: The Milky Way twin candidate NGC 3521,2025,NGC  1806,
NGC  1806,2026PASA...43...28G,"Isochrone fitting of Galactic globular clusters - VII. NGC 1904 (M79), NGC 4372, and revision of NGC 288, NGC 362, NGC 5904 (M5), NGC 6205 (M13), and NGC 6218 (M12)",2026,NGC  1806,
NGC  1806,2024A&A...689A.263D,GATOS: missing molecular gas in the outflow of NGC 5728 revealed by JWST,2024,NGC  1806,"It is in this context that we study here the molecular gas influenced by the outflow in NGC 5728, which is a strongly barred disk galaxy at a distance of 39 Mpc. ... The circumnuclear region of NGC 5728 As a context to the study presented here, we summarise the relevant points concerning what is known about the circumnuclear region of NGC 5728. ... Sample and target selection NGC 5728 is one of six galaxies observed in JWST Cycle 1 programme #1670. ... Fig. 2. Spectro-astrometry of NGC 5728. The relative position of the continuum peaks are shown for right ascension (top) and declination (bottom)."
NGC  1806,2026MNRAS.546ag030P,Integral field spectroscopy and numerical simulations of the NGC 2207 / IC 2163 system,2026,NGC  1806,"The larger galaxy, NGC 2207, exhibits strong spiral arms and several extended tidal structures. ... In total, 729 complexes were identified within NGC 2207 and 167 complexes within IC 2163. This comprises 110 complexes from NGC 2207 and 108 complexes from IC 2163 located in the ove ... For example, in the better sampled NGC 2207, a gradient flattening could be present at R > 15 kpc with O3N2. ... If present, azimuthal variations in the couple NGC 2207/IC 2163 could be due to rapid local enrichment from enhanced SF but also being generated at discontinuities in gas motions along import ... al enrichment from enhanced SF but also being generated at discontinuities in gas motions along important dynamical structures like the IC 2163 eyelids or the strong spiral arms in NGC 2207."
NGC  1806,2007ApJ...664..204S,Modeling Noncircular Motions in Disk Galaxies: Application to NGC 2976,2007,NGC  1806,"Appendix . 4. VELOCITY FIELD MODELS OF NGC 2976 To illustrate the technique, we fit our bisymmetric model to the observed high‐quality velocity field of NGC 2976 reported by SBLB . ... The Hα and CO velocity fields of NGC 2976 presented in Figure 4 of SBLB were kindly made available to us by J. ... tation that NGC 2976 hosts a bar. Menéndez‐Delmestre et al. ( 2007 ) have examined the Two Micron All Sky Survey (2MASS; Skrutskie et al. 2006 ) J , H , and images of NGC 2976 to sea ... We defer the detailed mass modeling of NGC 2976 required for quantitative estimates of its mass budget to a future paper."
NGC  1806,2022MNRAS.514..806V,Stellar graveyards: clustering of compact objects in globular clusters NGC 3201 and NGC 6397,2022,NGC  1806,
NGC  1806,2010AJ....140.1882R,The Discovery of Infrared Rings in the Planetary Nebula NGC 1514 During the WISE All-sky Survey,2010,NGC  1806,"over 200 years of study of NGC 1514, though it is still classified as the round or elliptical planetary nebula (PN) that Herschel saw. In modern terms, NGC 1514 is a moderately high ... Labeled, logarithmically scaled, Hα image of NGC 1514. (FITS data kindly supplied by R. Corradi.) Hajian et al. ( 1997 ) describe NGC 1514 as a “lumpy nebula composed of numerous sma ... No longer can NGC 1514 be considered a simple PN “of a circular form” as Herschel perceived it."
NGC  1806,2025A&A...699A.364R,The vertical structure of the stellar disk in NGC 551,2025,NGC  1806,"We note that the gaseous disk in NGC 551 does not show complicated multicomponent structures (bright nucleus, bulge, etc.). ... For NGC 551, the DMS σ ⋆ is largely consistent with the iterative method within ∼20−25%. ... In Fig. 15 , we plot FR as a function of radius for NGC 551. As shown, for NGC 551, the FR values vary between 8 and 23 depending on the radius. ... For this study, we considered the disk of NGC 551 as a single-component one, which might have introduced some biases."
NGC  1806,2025A&A...695A.269L,"Low-Eddington ratio, changing-look active galactic nuclei: The case of NGC 4614",2025,NGC  1806,
NGC  1806,2017ApJ...840...41E,Swift Monitoring of NGC 4151: Evidence for a Second X-Ray/UV Reprocessing,2017,NGC  1806,
IC 2810,2004AJ....127..736H,A Study of the Distribution of Star-forming Regions in Luminous Infrared Galaxies by Means of Hα Imaging Observations,2004,IC 2810,
IC 2810,1991ApJ...370..158S,Molecular Gas in Luminous Infrared Galaxies,1991,IC 2810,
IC 2810,2018AJ....156..295P,"Warm Molecular Hydrogen in Nearby, Luminous Infrared Galaxies",2018,IC 2810,ESO319-G022 Excitation diagram for ESO319-G022. Figure 5.99. IC2810 Excitation diagram for IC2810. Figure 5.100. NGC3690-W Excitation diagram for NGC3690-W.
IC 2810,2000MNRAS.312..433L,Dust and gas in luminous infrared galaxies - results from SCUBA observations,2000,IC 2810,
IC 2810,2010ApJ...721.1233I,AKARI IRC Infrared 2.5-5 μm Spectroscopy of a Large Sample of Luminous Infrared Galaxies,2010,IC 2810,"adequate quality, and so the individual spectra are plotted separately. For ESO 244-G012, IC 2810, VV 250, and NGC 5256, only the spectra of the N, NW, SE, and SW nuclei, respectively, are s ... These are NGC 232, VV 114E, NGC 2623, IC 2810, IC 694, NGC 3690, IRAS 12224−0624, IC 860, NGC 5104, IRAS 15250+3609, and NGC 7771, of which buried AGN signatures are found in VV 114E, NGC 262"
IC 2810,2018A&A...620A.140T,C-GOALS. II. Chandra observations of the lower luminosity sample of nearby luminous infrared galaxies in GOALS,2018,IC 2810,"herefore no values for T 1 , T 2 , and N H were derived for them. In addition, NGC 6285 and IC 2810 (SE) were fit with a single mekal component in the 0.4−2 keV range, and NGC 7752/3 (NE) and ... ics also favoring a non-absorbed power-law, we opt not to consider this source an AGN. [60] IC 2810 . Both galaxies in this system, separated by ∼1.1′, contribute to the IRAS flux as shown in"
IC 2810,2017MNRAS.467.4161D,Irradiation of astrophysical objects - SED and flux effects on thermally driven winds,2017,IC 2810,"We have chosen the X-ray temperature so that T IC 2.810 7 K. Above the terms represent the parametrized heating and cooling from Compton processes ( A C ), X-rays ( A X ), bremsstrahlung ( A"
IC 2810,2022ApJ...929...15Z,Massive Galaxy Mergers Have Distinctive Global H I Profiles,2022,IC 2810,The inset shows the optical Digitized Sky Survey image from NED. Figure 4.5. IC 2810. The inset shows the optical Digitized Sky Survey image from NED.
IC 2810,2016ApJ...825..128L,Morphology and Molecular Gas Fractions of Local Luminous Infrared Galaxies as a Function of Infrared Luminosity and Merger Stage,2016,IC 2810,This system had been previously classified as a separated galaxy pair (stage a ) by St13. IC 2810 Classified as M1 based on the appearance of two slightly disturbed disks with large projected
IC 2810,2022ApJ...940...52S,Characterizing Compact 15-33 GHz Radio Continuum Sources in Local U/LIRGs,2022,IC 2810,"For three “SF” regions, IC1623B_n4, NGC5257_e1, and IC2810_e1, α 15–33 ≳ 0 after accounting for uncertainties, which is unexpected from optically thin thermal free–free emission. ... Given the above, we classify the radio nucleus as “AGN/SBnuc.” 33. IC 2810 : we detect one nuclear and one extranuclear region in this northwestern component of a pre-merging galaxy pair at b"
SLACS SDSS J2300+0022,2006ApJ...653.1391D,Microlensing of Lensed Supernovae,2006,SLACS SDSS J2300+0022 source,"To consider a realistic lensing scenario, we consider the SLACS lens SDSS J2300+0022 and use the lens model by Koopmans et al. ( 2006 ). We place a SN near the center of the source and solve ... N 2004ej and SN 2004ex, both from the CSP) and lens/source parameters from the SLACS lens J2300+0022 (Koopmans et al. 2006 ). Left column: Histograms of the recovered time delays for 400 mock"
SLACS SDSS J2300+0022,2013MPLA...2850057W,Strong Gravitational Lensing and its Cosmic Constraints,2013,SLACS SDSS J2300+0022 source,
SLACS SDSS J2300+0022,2012JCAP...03..016C,Constraints on cosmological models from strong gravitational lensing systems,2012,SLACS SDSS J2300+0022 source,
SLACS SDSS J2300+0022,2007ApJ...671.1568J,The Baryon Fractions and Mass-to-Light Ratios of Early-Type Galaxies,2007,SLACS SDSS J2300+0022 source,We lacked the seeing FWHM for SDSS J1627−0053 and SDSS J2300+0022 and simply used the average value for the other SDSS objects.
SLACS SDSS J2300+0022,2008ApJ...682..964B,The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,2008,SLACS SDSS J2300+0022 source,"the 99th percentile image value as determined from the SIE lens‐model image. Fig. 6.60 SDSS J2300+0022 Leftmost large panels show direct F814W images, to a side, with north up and east left."
SLACS SDSS J2300+0022,2008A&A...477L..25G,Stellar mass estimates in early-type galaxies from lensing+dynamical and photometric measurements,2008,SLACS SDSS J2300+0022 source,
SLACS SDSS J2300+0022,2009A&A...501..461G,Photometric mass and mass decomposition in early-type lens galaxies,2009,SLACS SDSS J2300+0022 source,
SLACS SDSS J2300+0022,2013ApJ...777....1B,Witnessing the Differential Evolution of Disk Galaxies in Luminosity and Size via Gravitational Lensing,2013,SLACS SDSS J2300+0022 source,All images are 75 × 75. Figure 3.58. SDSS J2300+0022 From left to right: ACS-F814W image of the SLACS lens; ACS PSF lens galaxy model subtracted F814W image showing the lensed features; predi
SLACS SDSS J2300+0022,2022MNRAS.517.3275E,Automated galaxy-galaxy strong lens modelling: No lens left behind,2022,SLACS SDSS J2300+0022 source,") and our measurements of γ and γ ext are consistent (Fig. 18 ). For the discrepant lens J2300+0022, PyAutoLens infers γ = 2.55 and γ ext = 0.08, compared to Shajib et al. ( 2021 )’s γ = 1.8 ... s assumes priors on the shear parameters that allow values up to γ ext = 0.2. Indeed, for J2300+0022 our search yields a best-fit shear of γ ext = 0.07. Discarding this lens, we find a mean d"
SLACS SDSS J2300+0022,2006ApJ...649..599K,The Sloan Lens ACS Survey. III. The Structure and Formation of Early-Type Galaxies and Their Evolution since z ~ 1,2006,SLACS SDSS J2300+0022 source,9 J0956+5100 J0959+0410 J1250+0523 J1330-0148 J1402+6321 J1420+6019 J1627-0055 J1630-4520 J2300+0022 J2303+1422 J2321-0939 Table 1 summarizes the best‐fit parameters from the SIE mass modelin
ESO 255-7,1998MNRAS.294..265P,A comprehensive search for extragalactic 6.7-GHz methanol masers,1998,ESO 255-7,
ESO 255-7,2021MNRAS.506.1896K,The Heraklion Extragalactic Catalogue (HECATE): a value-added galaxy catalogue for multimessenger astrophysics,2021,ESO 255-7,"re resolved in the HECATE but unresolved in IRAS - RBGS : NGC 3395/6, NGC 4038/9, NGC 4568/7, ESO 255-IG007, NGC 4922, ESO 343-IG013, NGC 7592, NGC 3994/5, NGC 5394/5, NGC 6670A/B, ESO 60-IG0"
SLACS SDSS J1250+0523,2007ApJ...671.1568J,The Baryon Fractions and Mass-to-Light Ratios of Early-Type Galaxies,2007,SLACS SDSS J1250+0523,"J1627−0053 with , SDSS J1250+0523 with , SDSS J0737+321 with , PG 1115+080 with , and SDSS J1420+602 with ) or a homogeneous evolutionary subset (SDSS J1250+0523 with , H1543+535 wi ... owest probabilities of belonging to the homogeneous dynamical subset are PG 1115+080 (with ), SDSS J1250+0523 (with ), SDSS J1627−0053 (with ), SDSS J0737+321 (with ), and H1417+526 (with )."
SLACS SDSS J1250+0523,2025ApJ...990...51K,Spatially Resolved Kinematics of SLACS Lens Galaxies. I. Data and Kinematic Classification,2025,SLACS SDSS J1250+0523,"The solid black horizontal line shows this separation. We note one fast rotator (SDSS J1250+0523) that appears to show prolate rotation due to its nearly 90 ∘ measured misalignment. ... All objects are oblate, with the exception of SDSS J1250+0523, which is very round with ε ∼ 0.03 and likely not truly prolate. 5.3."
SLACS SDSS J1250+0523,2013ApJ...777....1B,Witnessing the Differential Evolution of Disk Galaxies in Luminosity and Size via Gravitational Lensing,2013,SLACS SDSS J1250+0523,
SLACS SDSS J1250+0523,2013MPLA...2850057W,Strong Gravitational Lensing and its Cosmic Constraints,2013,SLACS SDSS J1250+0523,
SLACS SDSS J1250+0523,2012JCAP...03..016C,Constraints on cosmological models from strong gravitational lensing systems,2012,SLACS SDSS J1250+0523,
SLACS SDSS J1250+0523,2021A&A...647A.176G,SLITRONOMY: Towards a fully wavelet-based strong lensing inversion technique,2021,SLACS SDSS J1250+0523,"als from the analytical model and source reconstruction (shapelets+Sérsic). They are SDSS J1250+0523, SDSS J1630−4520 and SDSS J0959−0410. We use HST data obtained with the ACS instrument in"
SLACS SDSS J1250+0523,2008ApJ...682..964B,The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,2008,SLACS SDSS J1250+0523,"the 99th percentile image value as determined from the SIE lens‐model image. Fig. 6.41 SDSS J1250+0523 Leftmost large panels show direct F814W images, to a side, with north up and east left."
SLACS SDSS J1250+0523,2008A&A...477L..25G,Stellar mass estimates in early-type galaxies from lensing+dynamical and photometric measurements,2008,SLACS SDSS J1250+0523,
SLACS SDSS J1250+0523,2008MNRAS.383L..40A,The environments of SLACS gravitational lenses,2008,SLACS SDSS J1250+0523,"We note that one steeper profile system, SDSS J1250 + 0523, is not photometrically associated with any neighbouring galaxies; this perhaps illustrates the limits of using photometry to find p ... We note that one steeper profile system, SDSS J1250 + 0523, is not photometrically associated with any neighbouring galaxies; this perhaps illustrates the limits of using photometry to find p"
SLACS SDSS J1250+0523,2009A&A...501..461G,Photometric mass and mass decomposition in early-type lens galaxies,2009,SLACS SDSS J1250+0523,
Bol  37,2004PASP..116.1105W,The χ Factor: Determining the Strength of Activity in Low-Mass Dwarfs,2004,Bol  37,"ivity strength remains relatively constant (although with large scatter) at log (L Hα /L bol )∼ - 3.7 through the early to midM spectral types and appears to decline at types later than M6, w"
Bol  37,2012MNRAS.427L..75N,Candidates for detecting exoplanetary radio emissions generated by magnetosphere-ionosphere coupling,2012,Bol  37,"ver, that all stars for which the Sterzik Schmitt (1997) relation is employed have L X / L bol −3.7, i.e. within the range of validity of the relation and not within the activity–rotation sat"
Bol  37,2024ApJ...976...98P,Constraining the Diffusion Coefficient and Cosmic-Ray Acceleration Efficiency Using Gamma-Ray Emission from the Star-forming Region RCW 38,2024,Bol  37,"e find a total YMC mass-loss rate of 3.8 × 10 −6 M ⊙ yr −1 , corresponding to the total L bol of 3.7 ×10 39 erg s −1 . Since the radii and masses of these sources are not constrained, we are"
Bol  37,2024SPIE13093E..48S,Thermal design and control of Athena Wide Field Imager (WFI) camera head,2024,Bol  37,"hermal interface is 31 W at BoL and EoL, and that at the FEE thermal interface is 32 W at BoL and 37 W at EoL. The reformulation of the ATHENA mission brings new challenges to the thermal des"
Bol  37,1976JHyd...29..165G,"The Botucatu aquifer of South America, model of an untapped continental aquifer",1976,Bol  37,"Geologia Uruauaya. Inst. Geol. Urug., Bol., 37. Castellanos, A., 1965. Estudio fisiografico de la Provincia de Corrientes."
Bol  37,1987EnvEB..27..489T,Effects of aluminum on red spruce seedlings in solution culture,1987,Bol  37,"alumin/un on honeylocust (Gledilsia lriacanlkos L.) seedlings in solution cuhure. J. exp. Bol. 37, 775 785. 24. ULRICh B. (1981) Einc ekosystemarc Hypothese uber die Ursache des Tannensterbe"
Bol  37,2020E&ES..439a2039P,Enzyme powder amylase complex from Aspergillus awamori KT-11 for hydrolysis of cassava (Manihot esculenta),2020,Bol  37,Matsubara T et al. 2004 J. Biochem. Mol. Bol. 37(4) 422–428. 5 ISIBIO 2019 IOP Conf. Series: Earth and Environmental Science 439 (2020) 012039 IOP Publishing doi:10.1088/1755-1315/439/1/01203
Bol  37,1990Icar...85..481B,Self-consistent velocity dispersions and mass spectra in the protoplanetary cloud,1990,Bol  37,"When a -1, (Bol) N/2a,(7-)R 3/4( ON )j- r ()s I __(Bol) 7IN _ , 1 (Bol) 37 i (Fok) _ - LAN az(T) LNN R1/4(RN) [2 r (P1 )T + ~r (~I )~ J~N(Fok) ---- ~¡(Fok), 498 where _ 1 ¡1 + Tll/2 1 - T al"
Bol  37,2021Ecosp..12E3803W,Predicting burrowing crab impacts on salt marsh plants,2021,Bol  37,"N 123°02′23.65′′ W), Tomales Bay (TOM; 38°12′35.67′′ N 122°55′38.01′′ W), and Bolinas Lagoon (BOL; 37°55′13.57′′ N 122°41′10.09′′ W). In southern California (Point Conception, CA to the U.S. ... N 123°02′23.65′′ W), Tomales Bay (TOM; 38°12′35.67′′ N 122°55′38.01′′ W), and Bolinas Lagoon (BOL; 37°55′13.57′′ N 122°41′10.09′′ W). In southern California (Point Conception, CA to the U.S."
Bol  37,1985Ene....10..901I,"A preliminary economic analysis of buffalo gourd as a diesel fuel and ethanol feedstock in the high plains of New Mexico, Texas and Oklahoma",1985,Bol  37,"Am. 66, 266 (1973). 10. H. 0. Doty, Jr., Econ. Bol. 37, 434 (1983). 11. B. E. Kingsolver, Biomass 2, 281 (1982). 12. R."
2MASS J03285101+3118184,2025AJ....169..155W,A Bayesian Approach to Inferring Accretion Signatures in Young Stellar Objects: A Case Study with VIRUS,2025,Gaia DR3 121404573540799232,"corner plot for the fit of an accreting YSO model to the spectrum of Object 11 (2MASS J03285101+3118184). Included are the model parameters as well as the log( L * ) and log( L acc ) posterio ... For example, Object 11 (2MASS J03285101+3118184) has no H β emission-line flux listed in Table 7 . We also measured line fluxes for the class III YSOs, though we found that Objects 6 and Obje"
ESO  77-14,2018arXiv181200779B,Simulating Tidal Interactions between Galaxies: A Pre-University Student Project,2018,ESO  77-14,ce”) NGC 2207 and IC 2163 AM 0500-620 Arp 271 NGC 6786 UGC 9618 UGC 8335 Arp 256 ESO 593-8 ESO 77-14 Table 2: List of notable interacting galaxies Our description so far refers to a version w
ESO  77-14,2014MNRAS.439.1648A,The subarcsecond mid-infrared view of local active galactic nuclei - I. The N- and Q-band imaging atlas,2014,ESO  77-14,"well, apart from a few cases where the spectra have higher flux levels (e.g. VISIR: ESO 323-77, ESO 428-14, IC 5063, MCG-3-34-64; T-ReCS: NGC 5506). In the case of the VISIR spectra, this is"
ESO  77-14,2012MNRAS.424.1372A,Progenitor mass constraints for core-collapse supernovae from correlations with host galaxy star formation,2012,ESO  77-14,
