1RXS J172759.7+542146
2CXO J104756.4+123120
2E  2194
2MASS J00221787-7206122
2MASS J00225403-7205169
2MASS J00423588+4054417
2MASS J00425278+4056271
2MASS J00430267+4143037
2MASS J00430628+4102548
2MASS J03285101+3118184
2MASS J03285514+3116247
2MASS J04453671-5914277
2MASS J06073239+2405288
2MASS J07371703+6535579
2MASS J09563645+6900280
2MASS J09575945+0228109
2MASS J09583060+0229517
2MASS J09590196+0142597
2MASS J09595137+0140489
2MASS J10000544+0242340
2MASS J10005119+0140274
2MASS J13270563-4731049
2MASS J13271523-4728392
2MASS J13420873+2821479
2MASS J16465824-4550341
2MASS J16470625-4551042
2MASS J16470892-4549585
2MASS J16472224-0157102
2MASS J17170434+4304107
2MASS J19104660-6000328
2MASS J19105123-5957526
2MASS J19105770-5959184
2MASS J19110030-5958229
2MASS J19205058+3747336
2MASS J19205537+3747497
2MASX J12270522+3336435
2MASX J13153932+4205386
2MASX J13273351-3125267
2MASX J23210539-6912472
2MASXI J1327562-312910
2dFGRS TGN419Z002
2dFS  1311
3XMM J100009.4+013654
ACS-GC 10034755
ACS-GC 10215711
ACS-GC 12003826
ACS-GC 12004059
ACS-GC 12007686
ACS-GC 12007926
ACS-GC 13004214
ACS-GC 13011701
ACS-GC 13019240
ACS-GC 13026683
ACS-GC 13035250
ACS-GC 13042389
ACS-GC 13101998
ACS-GC 20005002
ACS-GC 20005197
ACS-GC 20005666
ACS-GC 20006039
ACS-GC 20006286
ACS-GC 20006822
ACS-GC 20006996
ACS-GC 20009367
ACS-GC 20010216
ACS-GC 20011020
ACS-GC 20014638
ACS-GC 20015137
ACS-GC 20015965
ACS-GC 20016058
ACS-GC 20017677
ACS-GC 20017786
ACS-GC 20018586
ACS-GC 20018613
ACS-GC 20019717
ACS-GC 20019868
ACS-GC 20020139
ACS-GC 20021073
ACS-GC 20022950
ACS-GC 20023575
ACS-GC 20025880
ACS-GC 20028936
ACS-GC 20029569
ACS-GC 20030168
ACS-GC 20039801
ACS-GC 20042925
ACS-GC 20043469
ACS-GC 20045421
ACS-GC 20046790
ACS-GC 20047665
ACS-GC 20049386
ACS-GC 20049526
ACS-GC 20051316
ACS-GC 20051405
ACS-GC 20052619
ACS-GC 20053967
ACS-GC 20054156
ACS-GC 20054778
ACS-GC 20054810
ACS-GC 20054816
ACS-GC 20055306
ACS-GC 20074260
ACS-GC 20076153
ACS-GC 20078761
ACS-GC 20080464
ACS-GC 20100955
ACS-GC 20101122
ACS-GC 20101989
ACS-GC 20102891
ACS-GC 20103640
ACS-GC 20104148
ACS-GC 20105590
ACS-GC 20106495
ACS-GC 20129860
ACS-GC 20132957
ACS-GC 20133828
ACS-GC 20135881
ACS-GC 20136501
ACS-GC 20136953
ACS-GC 20137831
ACS-GC 20138663
ACS-GC 20156225
ACS-GC 20158159
ACS-GC 20158217
ACS-GC 20159317
ACS-GC 20159655
ACS-GC 20161481
ACS-GC 20162038
ACS-GC 20164945
ACS-GC 20165086
ACS-GC 20166598
ACS-GC 20167460
ACS-GC 20168826
ACS-GC 20169290
ACS-GC 20171183
ACS-GC 20171876
ACS-GC 20172904
ACS-GC 20173053
ACS-GC 20174723
ACS-GC 20174970
ACS-GC 20178118
ACS-GC 20178956
ACS-GC 20181831
ACS-GC 20181853
ACS-GC 20182709
ACS-GC 20184404
ACS-GC 20187837
ACS-GC 20187937
ACS-GC 20188675
ACS-GC 20188832
ACS-GC 20190238
ACS-GC 20191668
ACS-GC 20192816
ACS-GC 20193411
ACS-GC 20195761
ACS-GC 20207318
ACS-GC 20209403
ACS-GC 20233858
ACS-GC 20299319
ACS-GC 20313976
ACS-GC 20316070
ACS-GC 20318262
ACS-GC 20318697
AEGIS20 J141758.05+523134.5
AEGIS20 J141852.79+524618.8
AEGIS20 J141906.79+524013.9
AEGIS20 J141908.83+524400.7
AEGIS20 J141934.10+524800.3
AEGIS20 J141937.27+525103.2
AEGIS20 J142021.95+525511.9
AEGIS20 J142043.04+530226.3
AEGIS20 J142048.50+530623.9
ALMA J114936.0+222424
ASR  11
ASV 31
ATO J006.6971+39.7288
AzV  58
BCLMP   13
BCLMP   29
BMB-B  30
BMB-W  38
BOW ACO 2218 CC087
Bol  37
Bol  41
Bol  42
Bol 141
Bol 180
Bol 298
Bol D72
Bol D80
CANDELS EGS F160W J141823.6+524334.4
CANDELS EGS F160W J141824.0+524406.1
CANDELS EGS F160W J141825.4+524421.4
CANDELS EGS F160W J141825.9+524322.3
CANDELS EGS F160W J141826.6+524337.0
CANDELS EGS F160W J141829.3+524329.9
CANDELS EGS F160W J141830.1+524456.1
CANDELS EGS F160W J141830.2+524310.8
CANDELS EGS F160W J141830.5+524412.1
CANDELS EGS F160W J141831.2+524331.0
CANDELS EGS F160W J141834.4+524305.0
CANDELS EGS F160W J141835.0+524602.2
CANDELS EGS F160W J141836.7+524357.6
CANDELS EGS F160W J141836.7+524505.9
CANDELS EGS F160W J141838.1+524255.8
CANDELS EGS F160W J141839.2+524254.3
CANDELS EGS F160W J141840.8+524150.0
CANDELS EGS F160W J141841.8+524224.0
CANDELS EGS F160W J141842.5+524520.0
CANDELS EGS F160W J141843.2+524229.8
CANDELS EGS F160W J141843.3+524149.5
CANDELS EGS F160W J141843.7+524404.7
CANDELS EGS F160W J141844.2+524617.2
CANDELS EGS F160W J141844.6+524142.3
CANDELS EGS F160W J141845.2+524636.5
CANDELS EGS F160W J141846.3+524657.5
CANDELS EGS F160W J141847.6+524711.9
CANDELS EGS F160W J141848.9+524515.0
CANDELS EGS F160W J141849.1+524500.2
CANDELS EGS F160W J141849.7+524524.5
CANDELS EGS F160W J141850.4+524305.8
CANDELS EGS F160W J141853.3+524536.0
CANDELS EGS F160W J141854.4+524547.8
CANDELS EGS F160W J141854.8+524307.3
CANDELS EGS F160W J141855.7+524746.0
CANDELS EGS F160W J141855.8+524546.7
CANDELS EGS F160W J141855.9+524519.0
CANDELS EGS F160W J141856.8+524817.0
CANDELS EGS F160W J141857.0+524556.0
CANDELS EGS F160W J141857.8+524727.9
CANDELS EGS F160W J141857.8+524907.9
CANDELS EGS F160W J141858.9+524833.9
CANDELS EGS F160W J141859.2+524716.8
CANDELS EGS F160W J141859.5+524603.6
CANDELS EGS F160W J141859.5+524702.9
CANDELS EGS F160W J141859.7+524146.1
CANDELS EGS F160W J141859.7+524735.1
CANDELS EGS F160W J141900.0+524155.5
CANDELS EGS F160W J141900.1+524248.9
CANDELS EGS F160W J141900.2+524959.1
CANDELS EGS F160W J141900.3+524847.3
CANDELS EGS F160W J141900.5+524216.1
CANDELS EGS F160W J141900.8+525025.2
CANDELS EGS F160W J141901.8+524650.2
CANDELS EGS F160W J141902.4+524532.0
CANDELS EGS F160W J141902.4+524636.8
CANDELS EGS F160W J141902.7+524502.5
CANDELS EGS F160W J141903.3+524518.4
CANDELS EGS F160W J141903.4+525035.7
CANDELS EGS F160W J141903.5+524648.1
CANDELS EGS F160W J141903.5+525005.6
CANDELS EGS F160W J141903.7+525014.2
CANDELS EGS F160W J141904.0+524704.7
CANDELS EGS F160W J141904.2+524458.4
CANDELS EGS F160W J141904.3+524529.5
CANDELS EGS F160W J141904.3+524842.5
CANDELS EGS F160W J141904.6+524736.7
CANDELS EGS F160W J141905.2+524512.8
CANDELS EGS F160W J141905.4+525052.9
CANDELS EGS F160W J141905.7+525107.0
CANDELS EGS F160W J141906.2+525047.4
CANDELS EGS F160W J141906.5+524850.9
CANDELS EGS F160W J141907.1+524939.4
CANDELS EGS F160W J141907.3+524309.1
CANDELS EGS F160W J141907.4+524252.4
CANDELS EGS F160W J141907.9+524857.3
CANDELS EGS F160W J141908.4+525137.0
CANDELS EGS F160W J141908.7+524904.9
CANDELS EGS F160W J141909.7+524735.9
CANDELS EGS F160W J141910.3+524450.8
CANDELS EGS F160W J141910.4+524418.7
CANDELS EGS F160W J141910.5+524634.2
CANDELS EGS F160W J141910.5+524856.2
CANDELS EGS F160W J141911.1+524618.8
CANDELS EGS F160W J141911.2+525210.4
CANDELS EGS F160W J141912.2+524641.5
CANDELS EGS F160W J141912.5+524451.9
CANDELS EGS F160W J141912.6+524708.2
CANDELS EGS F160W J141912.8+524902.2
CANDELS EGS F160W J141913.1+525157.1
CANDELS EGS F160W J141913.3+524751.4
CANDELS EGS F160W J141913.3+524853.1
CANDELS EGS F160W J141914.1+525117.9
CANDELS EGS F160W J141914.7+525130.2
CANDELS EGS F160W J141914.8+524532.1
CANDELS EGS F160W J141914.8+524854.1
CANDELS EGS F160W J141914.8+525014.1
CANDELS EGS F160W J141915.7+525020.7
CANDELS EGS F160W J141915.7+525157.0
CANDELS EGS F160W J141915.9+524932.2
CANDELS EGS F160W J141916.3+524748.8
CANDELS EGS F160W J141918.2+525118.4
CANDELS EGS F160W J141919.3+524701.2
CANDELS EGS F160W J141919.4+524449.8
CANDELS EGS F160W J141919.7+525027.7
CANDELS EGS F160W J141919.9+524931.5
CANDELS EGS F160W J141920.1+524828.7
CANDELS EGS F160W J141920.3+524738.7
CANDELS EGS F160W J141920.3+524953.7
CANDELS EGS F160W J141920.6+524843.1
CANDELS EGS F160W J141921.2+525314.7
CANDELS EGS F160W J141922.2+525122.8
CANDELS EGS F160W J141922.6+524742.6
CANDELS EGS F160W J141922.6+524953.3
CANDELS EGS F160W J141923.7+524853.8
CANDELS EGS F160W J141923.9+524906.4
CANDELS EGS F160W J141924.3+524932.2
CANDELS EGS F160W J141924.4+524756.4
CANDELS EGS F160W J141924.5+525315.8
CANDELS EGS F160W J141924.6+525109.1
