filename,avg_score,SourceRA,SourceDec,matched_source,object_name,object_type,ref_count,redshift,arxiv_url,summary
4001415925883,50.0,181.41836151856464,49.17477080083705,SIMBAD,SLACS SDSS J1205+4910,gLS,30,,,
4000787734924,50.0,170.02516156065263,-12.179107564239985,NED,WISEA J112006.01-121045.1,,4,,,
4000960860032,50.0,214.61801808244073,52.67593848177234,NED,[OMS2023] 4000960860082,G,1,,,
4001097389299,49.666666666666664,44.28470376040605,-23.436043056092036,NED,[OMS2023] 6000402550471,G,1,,,
4001413889751,49.666666666666664,184.4982984524431,14.773921973508893,NED,SDSS J121759.57+144626.2,G,4,,,
4000831301815,49.0,149.57373421604257,2.4690919003861174,SIMBAD,COSMOS2015 771743,EmG,7,,,
4000713397655,49.0,131.78981369747498,34.82175198008728,SIMBAD,2XMM J084709.5+344917,X,1,,,
4000721973364,49.0,202.00258663499906,-27.33817317720827,NED,WINGS J132800.77-272016.6,G,4,,,
4000715986106,48.333333333333336,187.7011866785095,12.393006337068806,SIMBAD,[B56] C,PoG,33,,,
4000901179785,48.0,150.6164581067526,2.1629679594935367,SIMBAD,COSMOS2015 567004,G,4,,,
4000838861232,48.0,202.0090294649435,-31.515268355607187,NED,[OMS2023] 4000976490071,G,1,,,
4000817270105,48.0,215.12825546725904,53.133048508844006,NED,EGSIRAC J142030.96+530758.1,,2,,,
4000793999698,47.666666666666664,215.13692936943656,53.08936532477188,SIMBAD,CANDELS EGS F160W J142033.0+530522.0,G,6,,,
4000896310727,47.666666666666664,43.17315833450736,-15.00710070089939,NED,WISEA J025241.59-150025.4,G,3,,,
4000739672025,47.5,149.64462756817036,1.8737498547707943,SIMBAD,COSMOS2015 385038,G,4,,,
4000736938609,47.0,322.33586763916094,-7.7074977530381785,SIMBAD,SDSS J212920.60-074226.9,BiC,1,,,
4000789405102,47.0,150.00110695056736,2.6959961187221637,SIMBAD,COSMOS2015 921124,G,4,,,
4001116569140,47.0,74.96173446465653,52.07828052624575,SIMBAD,NAME CB 26 YSO 1,Y*O,10,,,
4000742921362,47.0,150.42114164112758,2.6542546459456937,SIMBAD,COSMOS2015 893203,G,12,,,
4000743731958,47.0,334.4032187224657,0.8352055753772648,NED,WISEA J221736.72+005008.6,,1,,,
4000895208136,47.0,202.03855922421533,-31.750607814529495,NED,[OMS2023] 4001015105868,G,1,,,
4000977077537,46.666666666666664,215.2052533471624,52.98659081548815,SIMBAD,SDSS J142049.43+525910.2,AGN,1,,,
4001421834799,46.666666666666664,186.74511704701322,33.45564915190371,NED,WISEA J122658.85+332720.5,,2,,,
4001416787244,46.5,149.46635855341097,69.04619934521774,NED,WISEA J095751.86+690247.9,,1,,,
4000791260510,46.333333333333336,150.3595493802656,55.90931393473285,SIMBAD,ASV 30,G,2,,,
4000943276114,46.333333333333336,214.78666841114682,52.73368340810165,SIMBAD,AEGIS20 J141908.83+524400.7,rG,5,,,
4001202990614,46.0,111.90666375551311,-2.915088073439616,HF,IRAS 07251-0248,,,,https://arxiv.org/abs/1103.3212,"IRAS 07251 0248 is a bright Revised Bright Galaxy Sample ULIRG with weak Chandra emission, a steep power-law fit, and evidence for heavy AGN absorption."
4001438170102,46.0,145.71059855154886,47.01330715196936,HF,A851 EIG parent C3,,,,https://arxiv.org/abs/1309.2587,"C3 is described as a disturbed spiral with emission along loose arms, likely interacting with a nearby spiral and belonging to the North subcluster."
4000976903824,46.0,149.68366196404537,2.4789522423630888,SIMBAD,COSMOS2015 779505,EmG,11,,,
4000798870544,46.0,334.38383445300383,0.19161451020897202,SIMBAD,VVDS 220560222,G,5,,,
4000975462491,46.0,264.8945599097648,68.91060786763593,NED,SDSS J173934.74+685438.0,G,2,,,
4000722906501,46.0,255.17385579513615,64.26146862953155,NED,[OMS2023] 4000722906530,G,1,,,
4001010764555,46.0,320.93818289756763,-53.04260056785502,NED,WISEA J212345.00-530232.4,G,2,,,
4000771102120,45.333333333333336,293.09293104924893,-4.000563403825734,SIMBAD,NVSS J193222-040000,rG,122,,,
4000976736931,45.0,198.89590934183516,62.12462328086401,HF,UGC 08335B / Arp 238 NED02,,,,https://arxiv.org/abs/1803.07207,"The paper describes LARS03 as a complex of two merging galaxies whose ground-based data only support surface-brightness and B-K color profiles, both showing complex structure."
4001244667344,45.0,150.69339957029672,2.03696377032048,SIMBAD,COSMOS2015 486569,G,4,,,
4000755600966,45.0,150.27033403845573,2.820407226686336,SIMBAD,ACS-GC 20193411,AGN,11,,,
4001037562775,45.0,149.5248796372137,2.4172303809599596,SIMBAD,COSMOS 2129245,G,7,,,
4001280999061,45.0,149.6313602908779,1.801008994736121,SIMBAD,COSMOS2015 338583,G,10,,,
4001084652692,45.0,149.62995392922193,2.308766858803115,SIMBAD,COSMOS2015 666360,G,4,,,
4000896856592,45.0,149.6753746561573,1.6462295612501572,SIMBAD,COSMOS2015 239526,G,1,,,
4001239405409,45.0,150.41037939690708,2.857340068559211,SIMBAD,SDSS J100138.48+025129.2,G,5,,,
4001300488013,45.0,155.28622162125012,34.59999580142423,NED,[OMS2023] 4001300488049,G,1,,,
4000740718821,45.0,311.32011459471966,-31.355052652423637,NED,SSTSL2 J204516.84-312117.8,,1,,,
4001013518546,45.0,225.0302322579925,1.8863185936157123,NED,SDSS J150007.24+015310.7,G,3,,,
4001243325143,45.0,255.21948263276863,64.1629196668876,NED,WISEA J170052.53+640946.3,,2,,,
4001232006487,44.666666666666664,149.7480429418412,2.688253607751314,SIMBAD,COSMOS2015 914725,EmG,8,,,
4000775572930,44.666666666666664,164.13775822106933,-3.768610258222791,NED,WISEA J105633.04-034606.3,G,5,,,
4000890975538,44.333333333333336,345.40630314919736,-38.96123616512714,NED,[OMS2023] 4000961670973,G,1,,,
4001193743577,44.333333333333336,265.1923110791339,69.09724908327185,NED,WISEA J174045.85+690547.8,,1,,,
4001414304839,44.333333333333336,177.3663347438904,22.39399607216198,NED,[OMS2023] 4001086146991,G,3,1.513,,
4001249146197,44.0,149.63027645879956,2.7255140498440276,SIMBAD,COSMOS2015 939263,G,11,,,
4000814979825,44.0,214.65888645966427,52.731151375260986,SIMBAD,[TCB2007] 12024244,G,1,,,
4001327426352,44.0,334.51679627156415,0.3587581648322477,SIMBAD,CFRS 22.0274,G,8,,,
4000720423480,44.0,350.26475892970797,-69.21700273862474,SIMBAD,ESO  77-14,IG,59,,,
4001181021246,44.0,149.8790935054095,2.0315696063871487,SIMBAD,COSMOS2015 483580,G,22,,,
4001031492919,44.0,150.42411216006806,2.2400549279263737,SIMBAD,COSMOS2015 620573,G,5,,,
4000766905407,44.0,150.06659327680546,2.887250912762554,SIMBAD,COSMOS2015 1043708,G,0,,,
4001414467015,44.0,102.03840419512541,70.24133540860196,NED,[CDK2017] 07099,G,1,,,
4001431152766,44.0,209.78880734445568,62.41229142305985,NED,[OMS2023] 4001454930468,G,1,,,
4001117801473,43.666666666666664,215.09961311632182,53.00436430285964,SIMBAD,SDSS J142024.06+530016.1,AGN,9,,,
4001358747503,43.666666666666664,357.9468116485347,-26.19459107006988,NED,WISEA J235147.36-261139.4,,2,,,
4001417641182,43.666666666666664,250.2989783255734,46.72549347615752,NED,[OMS2023] 4001417641182,G,1,,,
4001227961379,43.5,264.94535539222295,69.03724447305775,NED,SSTSL2 J173946.43+690214.6,,1,,,
4000833485507,43.333333333333336,116.21272859255426,39.44104100552782,SIMBAD,[TSB2015] GLASS MACS0744-02341,LeG,2,,,
4000900784774,43.333333333333336,149.42542721163463,55.37910241395714,NED,WISEA J095742.33+552246.6,G,3,,,
4000722901649,43.333333333333336,28.24208983077904,-13.913878931973521,NED,[OMS2023] 4000722901649,G,1,,,
4000794000801,43.0,215.0652587674972,53.111878388957955,HF,DEEP2 13043023,,,,https://arxiv.org/abs/1608.01676,"DEEP2-13043023 has irregular HST morphology with knots, matched emission along an arch, no velocity gradient, and mostly uniform dispersion except a high-dispersion northeast arm."
4000924444478,43.0,150.67390857823506,1.853307372822044,SIMBAD,COSMOS 785761,G,7,,,
4001162941538,43.0,149.52217479906335,2.5142885156865056,SIMBAD,COSMOS2015 800083,G,4,,,
4001243858009,43.0,149.83927083546382,1.9797200953119694,SIMBAD,[BMM2014] 837185,G,8,,,
4000842350849,43.0,288.62984380048186,-21.317926667064743,SIMBAD,CXO J191431.2-211905,X,3,,,
4001224269831,43.0,215.43584077036823,53.172783452084616,SIMBAD,EGSIRAC J142144.60+531022.0,G,2,,,
4000744715315,43.0,150.50788616967696,2.7776142767605694,SIMBAD,COSMOS2015 971329,G,5,,,
4000720424215,43.0,350.2724062838176,-69.21297571792499,SIMBAD,2MASX J23210539-6912472,GiP,24,,,
4000858402066,43.0,150.35821573976406,2.7952163803307064,SIMBAD,COSMOS2015 983337,G,8,,,
4000901180486,43.0,150.6191942199666,2.1904569367701443,SIMBAD,COSMOS 1502926,G,2,,,
4000742686853,43.0,214.5802222717373,52.5642740878921,SIMBAD,DEEP2-GRS 12011817,G,2,,,
4001214850722,43.0,149.60747940593853,2.4548382819613,SIMBAD,COSMOS2015 763002,G,6,,,
