filename,object_name,bibcode,year,title
4000705405701,MESSIER 081:[NHM2010] 1836,2010AJ....139.1413N,2010,Star Cluster Candidates in M81
4000705483627,NGC 3031:[HK83] 141,1983AJ.....88..296H,1983,An Atlas of H II regions in 125 galaxies
4000705484880,MESSIER 081:[NHM2010] 1702,2010AJ....139.1413N,2010,Star Cluster Candidates in M81
4000705489492,SSTSL2 J095626.46+690736.1,2010AJ....139.1413N,2010,Star Cluster Candidates in M81
4000705507010,MESSIER 081:[NHM2010] 1639,2010AJ....139.1413N,2010,Star Cluster Candidates in M81
4000705513103,NGC 3031:[HK83] 023,1983AJ.....88..296H,1983,An Atlas of H II regions in 125 galaxies
4000705539430,COSMOS2015 0876658,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4000705539430,COSMOS2015 0876658,2009ApJ...701..787P,2009,The Evolution of Early- and Late-type Galaxies in the Cosmic Evolution Survey up to z ~ 1.2
4000705539430,COSMOS2015 0876658,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4000705539430,COSMOS2015 0876658,2017ApJ...837...16D,2017,Cosmic Web of Galaxies in the COSMOS Field: Public Catalog and Different Quenching for Centrals and Satellites
4000705539453,COSMOS 2832088,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4000705539453,COSMOS 2832088,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4000705539502,COSMOS 2832149,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4000705539502,COSMOS 2832149,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4000705611360,MESSIER 081:[NHM2010] 2098,2010AJ....139.1413N,2010,Star Cluster Candidates in M81
4000705617794,SSTSL2 J095623.56+690354.0,1995AJ....109.1055P,1995,THE GLOBULAR CLUSTER SYSTEM OF M81
4000705617794,SSTSL2 J095623.56+690354.0,2010AJ....139.1413N,2010,Star Cluster Candidates in M81
