object_name,bibcode,year,title
2CXO J004331.1+410833,2023ApJS..268...36H,2023,
2CXO J004331.1+410833,2022ApJ...941..104Y,2022,
2CXO J004243.7+405515,2023ApJS..268...36H,2023,
2CXO J004243.7+405515,2022ApJ...941..104Y,2022,
2CXO J002011.7+591805,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J004259.3+411642,2023ApJS..268...36H,2023,
2CXO J004259.3+411642,2022ApJ...941..104Y,2022,
2CXO J004336.5+410925,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J004336.5+410925,2014ApJ...780...83B,2014,Around 200 New X-Ray Binary IDs from 13 yr of Chandra Observations of the M31 Center
2CXO J031930.1-192357,2022ApJ...941..104Y,2022,
2CXO J031930.1-192357,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J032139.3+165337,2022ApJ...941..104Y,2022,
2CXO J032139.3+165337,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J032139.3+165337,2011A&A...528A.122P,2011,The Swift serendipitous survey in deep XRT GRB fields (SwiftFT). I. The X-ray catalog and number counts
2CXO J032139.3+165337,2010ApJS..189...37E,2010,The Chandra Source Catalog
2CXO J013646.7+154511,2024ApJ...977..189L,2024,
2CXO J013646.7+154511,2022ApJ...941..104Y,2022,
2CXO J013646.7+154511,2019ApJS..243....3L,2019,
2CXO J043931.2-290349,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J071712.0+374202,2022ApJ...941..104Y,2022,
2CXO J071712.0+374202,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J071712.0+374202,2010ApJS..189...37E,2010,The Chandra Source Catalog
2CXO J071712.0+374202,2009MNRAS.392.1509G,2009,The distribution of active galactic nuclei in a large sample of galaxy clusters
2CXO J074458.2+392639,2017ApJ...848...37C,2017,Crowded Field Galaxy Photometry: Precision Colors in the CLASH Clusters
2CXO J071735.9+374812,2022ApJ...941..104Y,2022,
2CXO J071735.9+374812,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J071735.9+374812,2009MNRAS.392.1509G,2009,The distribution of active galactic nuclei in a large sample of galaxy clusters
2CXO J100118.1+555325,2022ApJ...941..104Y,2022,
2CXO J100118.1+555325,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J100118.1+555325,2010ApJS..189...37E,2010,The Chandra Source Catalog
2CXO J104756.4+123120,2024ApJ...977..189L,2024,
2CXO J104756.4+123120,2022ApJ...941..104Y,2022,
2CXO J104756.4+123120,2020ApJS..248...31L,2020,
2CXO J104756.4+123120,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J104756.4+123120,2011ApJS..192...10L,2011,Chandra ACIS Survey of X-ray Point Sources in 383 Nearby Galaxies. I. The Source Catalog
2CXO J104756.4+123120,2010ApJS..189...37E,2010,The Chandra Source Catalog
2CXO J104756.4+123120,2008ApJS..179..142B,2008,Deep Chandra Monitoring Observations of NGC 3379: Catalog of Source Properties
2CXO J112016.1-120740,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J112016.1-120740,2010ApJS..189...37E,2010,The Chandra Source Catalog
2CXO J120136.5-190029,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J120136.5-190029,2011ApJS..192...10L,2011,Chandra ACIS Survey of X-ray Point Sources in 383 Nearby Galaxies. I. The Source Catalog
2CXO J133951.1+004905,2022ApJ...941..104Y,2022,
2CXO J133951.1+004905,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J162517.1+154510,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J162517.1+154510,2009MNRAS.392.1509G,2009,The distribution of active galactic nuclei in a large sample of galaxy clusters
2CXO J180914.3-255421,2022ApJ...941..104Y,2022,
2CXO J180914.3-255421,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J165304.6+022434,2022ApJ...941..104Y,2022,
2CXO J165304.6+022434,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
2CXO J192045.7+374507,2022ApJ...941..104Y,2022,
2CXO J192045.7+374507,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
