filename,matched,object_name,object_type,ref_count,redshift
4001302576886,0,,,,
4000960860032,1,[OMS2023] 4000960860082,G,1,
4000787734924,1,WISEA J112006.01-121045.1,,4,
4000880785798,0,,,,
4001413889751,1,SDSS J121759.57+144626.2,G,4,
4000838861232,1,[OMS2023] 4000976490071,G,1,
4001097389299,1,[OMS2023] 6000402550471,G,1,
4000721973364,1,WINGS J132800.77-272016.6,G,4,
4001419089401,0,,,,
4000986556751,0,,,,
4001416787244,1,WISEA J095751.86+690247.9,,1,
4000817270105,1,EGSIRAC J142030.96+530758.1,,2,
4000896310727,1,WISEA J025241.59-150025.4,G,3,
4000895208136,1,[OMS2023] 4001015105868,G,1,
4001421834799,1,WISEA J122658.85+332720.5,,2,
4000743731958,1,WISEA J221736.72+005008.6,,1,
4000775572930,1,WISEA J105633.04-034606.3,G,5,
4001013518546,1,SDSS J150007.24+015310.7,G,3,
4001243325143,1,WISEA J170052.53+640946.3,,2,
4000722906501,1,[OMS2023] 4000722906530,G,1,
4000975462491,1,SDSS J173934.74+685438.0,G,2,
4001010764555,1,WISEA J212345.00-530232.4,G,2,
4001300488013,1,[OMS2023] 4001300488049,G,1,
4000740718821,1,SSTSL2 J204516.84-312117.8,,1,
4000740198479,0,,,,
4001358747503,1,WISEA J235147.36-261139.4,,2,
4001431152766,1,[OMS2023] 4001454930468,G,1,
4001414304839,1,[OMS2023] 4001086146991,G,3,1.513
4001414467015,1,[CDK2017] 07099,G,1,
4001193743577,1,WISEA J174045.85+690547.8,,1,
4000890975538,1,[OMS2023] 4000961670973,G,1,
4001417641182,1,[OMS2023] 4001417641182,G,1,
4001227961379,1,SSTSL2 J173946.43+690214.6,,1,
4000722905567,0,,,,
4001102682584,1,WISEA J174011.87+690236.0,,1,
4001131319654,0,,,,
4000900784774,1,WISEA J095742.33+552246.6,G,3,
4001430439930,1,[OMS2023] 6000343967311,G,1,
4000814558594,1,[OMS2023] 4001451104346,G,1,
4000722901649,1,[OMS2023] 4000722901649,G,1,
4001413889684,0,,,,
4000717407738,0,,,,
4001227961233,1,WISEA J173942.57+690155.9,G,5,
4000859733394,0,,,,
4000759442954,1,[OMS2023] 4000759443044,G,1,
4000757500691,1,HLS J071739.0+374356,G,3,1.03
4001444190238,1,WISEA J121416.01+330840.5,,2,
4001163886850,1,SDSS J173951.95+690718.6,G,2,
4000814558751,1,[OMS2023] 4000814558759,G,1,
4001144257497,1,[OMS2023] 4001102812560,G,1,
4000843146456,1,WISEA J122808.25+123508.2,,2,
4001059408795,1,WISEA J021054.98-510004.5,G,4,
4001198742761,1,WISEA J003851.16+422229.0,,1,
4000727939358,1,WISEA J015254.33-135144.8,,2,
4001068369148,1,WISEA J221805.04+002552.0,G,2,
4001421277365,1,SDSS J104629.17+114923.0,G,2,
4000840128273,0,,,,
4001428630173,1,WISEA J231828.05+003417.7,,3,
4000987771598,1,SDSS J135216.44+020437.6,G,2,
4000743731922,1,[LYY2017] 096703,G,1,0.84
4000843146080,1,[OMS2023] 4001200610362,G,1,
4000895207159,1,[OMS2023] 4001163764665,G,1,
4001422820358,1,WISEA J122331.69-123901.1,,1,
4001294261953,1,WISEA J015231.63-135906.1,,2,
4001100829767,1,SSTSL2 J071759.94+373756.4,,1,
4001019170515,1,WINGS J132756.97-313302.8,G,3,
4001448742815,0,,,,
4000892840285,0,,,,
4000727938760,1,[OMS2023] 4000727938760,G,1,
4001438978577,1,WISEA J220136.44-320250.9,,1,
4001081472314,1,SDSS J221816.71+001234.1,G,5,0.42
4000857381460,1,WISEA J091042.83+424857.3,G,2,
4000714611626,1,SDSS J173920.50+685942.0,G,2,
